train dataset: size=3960
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
val dataset: size=1600
  inp: shape=(1, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 1)
model: #params=531.6K
epoch 1/200, train: loss=0.0829, val: psnr=29.5543, 56.6s 56.6s/3.1h
epoch 2/200, train: loss=0.0391, val: psnr=31.6768, 43.7s 1.7m/2.8h
epoch 3/200, train: loss=0.0339, val: psnr=31.4348, 43.0s 2.4m/2.7h
epoch 4/200, train: loss=0.0316, val: psnr=33.1130, 43.4s 3.1m/2.6h
epoch 5/200, train: loss=0.0300, val: psnr=34.1327, 1.1m 4.2m/2.8h
epoch 6/200, train: loss=0.0289, val: psnr=33.9829, 1.1m 5.3m/2.9h
epoch 7/200, train: loss=0.0289, val: psnr=33.6176, 1.1m 6.4m/3.0h
epoch 8/200, train: loss=0.0269, val: psnr=34.7467, 1.5m 7.9m/3.3h
epoch 9/200, train: loss=0.0265, val: psnr=34.9973, 1.6m 9.5m/3.5h
epoch 10/200, train: loss=0.0259, val: psnr=35.3637, 1.4m 10.9m/3.6h
epoch 11/200, train: loss=0.0259, val: psnr=35.2661, 1.2m 12.2m/3.7h
epoch 12/200, train: loss=0.0253, val: psnr=34.7967, 1.3m 13.5m/3.7h
epoch 13/200, train: loss=0.0251, val: psnr=35.5070, 1.5m 15.0m/3.8h
epoch 14/200, train: loss=0.0241, val: psnr=35.6944, 1.6m 16.5m/3.9h
epoch 15/200, train: loss=0.0240, val: psnr=35.1662, 1.1m 17.7m/3.9h
epoch 16/200, train: loss=0.0242, val: psnr=35.6794, 1.2m 18.9m/3.9h
epoch 17/200, train: loss=0.0244, val: psnr=35.7811, 1.5m 20.4m/4.0h
epoch 18/200, train: loss=0.0249, val: psnr=35.8639, 1.5m 21.9m/4.1h
epoch 19/200, train: loss=0.0235, val: psnr=35.9153, 1.1m 23.0m/4.0h
epoch 20/200, train: loss=0.0233, val: psnr=35.6910, 1.1m 24.1m/4.0h
epoch 21/200, train: loss=0.0235, val: psnr=36.1973, 1.5m 25.6m/4.1h
epoch 22/200, train: loss=0.0234, val: psnr=35.8772, 1.5m 27.1m/4.1h
epoch 23/200, train: loss=0.0230, val: psnr=36.0500, 1.2m 28.3m/4.1h
epoch 24/200, train: loss=0.0243, val: psnr=35.0207, 1.1m 29.4m/4.1h
epoch 25/200, train: loss=0.0236, val: psnr=35.6528, 1.5m 30.9m/4.1h
epoch 26/200, train: loss=0.0236, val: psnr=36.1851, 1.5m 32.4m/4.2h
epoch 27/200, train: loss=0.0232, val: psnr=36.1566, 1.4m 33.7m/4.2h
epoch 28/200, train: loss=0.0230, val: psnr=36.2513, 1.2m 34.9m/4.2h
epoch 29/200, train: loss=0.0231, val: psnr=36.6106, 1.3m 36.2m/4.2h
epoch 30/200, train: loss=0.0227, val: psnr=36.3022, 1.6m 37.8m/4.2h
epoch 31/200, train: loss=0.0229, val: psnr=36.1159, 1.5m 39.3m/4.2h
epoch 32/200, train: loss=0.0227, val: psnr=36.4525, 1.4m 40.7m/4.2h
epoch 33/200, train: loss=0.0229, val: psnr=36.1510, 1.3m 42.1m/4.2h
epoch 34/200, train: loss=0.0224, val: psnr=35.4167, 1.3m 43.3m/4.2h
epoch 35/200, train: loss=0.0228, val: psnr=36.2113, 1.3m 44.7m/4.3h
